629.988	8.935730	12.228910	1257.173828
Event	53	Guns	2
583.449	-23.150232	9.065288	1198.403931
627.058	-3.259728	-35.552670	1253.096069
Event	54	Guns	2
626.255	1.588709	17.419113	1252.479858
627.174	45.654549	8.792774	1252.887329
Event	55	Guns	2
646.478	5.707993	-9.902395	1277.739990
624.911	-19.163717	-18.392124	1250.638672
Event	56	Guns	2
640.255	21.109058	24.842720	1269.640503
626.43	-17.422289	8.186123	1252.672729
Event	57	Guns	2
559.771	-3.768124	-26.758104	1168.116211
573.187	11.702656	0.770444	1185.537598
Event	58	Guns	2
553.243	37.889702	7.167408	1159.399292
574.176	-18.250805	41.689522	1185.984009
Event	59	Guns	2
578.52	5.789619	-28.976870	1192.026733
606.133	12.340780	1.028184	1227.293213
Event	60	Guns	2
572.067	35.116371	20.830065	1183.461792
557.284	13.024669	-27.490536	1164.838989
Event	61	Guns	2
592.061	-8.598238	-18.024059	1209.420288
604.748	37.525501	-24.989555	1224.780884
Event	62	Guns	2
634.556	-7.130952	1.197460	1262.942505
554.372	6.287592	19.546535	1161.310791
Event	63	Guns	2
555.223	-28.066750	-13.750012	1162.166504
552.776	-9.972164	35.164143	1158.862427
Event	64	Guns	2
648.915	33.108532	-32.208599	1279.981445
604.168	38.949314	29.153181	1223.912476
Event	65	Guns	2
618.534	-23.774328	4.653158	1242.700195
601.081	12.221475	28.484455	1220.592529
Event	66	Guns	2
561.237	2.707003	-35.859478	1169.756470
601.094	-42.000866	6.073955	1220.264771
Event	67	Guns	2
575.911	12.308381	39.357227	1188.354492
613.978	-32.047455	9.032633	1236.771729
Event	68	Guns	2
619.503	-38.853374	-1.672153	1243.542236
615.148	4.319737	-44.502750	1237.881958
Event	69	Guns	2
589.828	28.306036	21.397470	1206.234131
563.097	-24.634708	31.891182	1172.001587
Event	70	Guns	2
582.552	-24.251221	17.660227	1197.146240
613.035	21.909704	31.014259	1235.452881
Event	71	Guns	2
602.38	-44.145191	2.379448	1221.825317
560.26	-3.127897	-33.155193	1168.582520
Event	72	Guns	2
645.617	-11.457799	40.361050	1276.033325
610.967	28.960640	7.477307	1233.075195
Event	73	Guns	2
565.565	-27.858150	23.578232	1175.288330
608.37	30.583914	31.168381	1229.395630
Event	74	Guns	2
609.282	16.776325	45.256241	1230.372192
609.689	-36.550663	15.470526	1231.190796
Event	75	Guns	2
612.252	14.094456	-35.184048	1234.470581
552.155	-18.598610	-39.724609	1157.809937
Event	76	Guns	2
555.458	-23.690809	-20.075811	1162.474854
552.821	23.307459	-2.388673	1159.260986
Event	77	Guns	2
575.362	-12.234350	-42.660809	1187.539795
600.147	-36.312561	-16.916409	1219.150391
Event	78	Guns	2
568.748	-40.294632	-2.161242	1179.235718
551.094	-6.264771	6.255622	1157.239990
Event	79	Guns	2
638.358	33.455784	23.643057	1267.036377
647.955	-47.890369	13.821168	1278.653442
Event	80	Guns	2
632.023	4.694533	-3.289288	1259.790894
649.262	2.512205	-28.516787	1280.925049
Event	81	Guns	2
551.726	44.825134	-1.618194	1157.218628
596.322	-23.650171	34.098461	1214.267822
Event	82	Guns	2
595.497	-13.471193	41.259201	1213.156860
647.792	-8.701942	-13.109717	1279.325317
Event	83	Guns	2
609.136	6.144149	47.686478	1230.195801
609.253	18.936773	17.998594	1231.004150
Event	84	Guns	2
602.579	26.782482	5.313446	1222.571045
560.256	-33.383999	16.965904	1168.451538
Event	85	Guns	2
622.468	17.272306	17.158363	1247.626831
607.569	-12.075924	-0.781514	1229.103516
Event	86	Guns	2
565.758	-32.384323	16.409655	1175.541870
608.38	-18.268480	43.523289	1229.277466
Event	87	Guns	2
635.843	7.591101	1.029447	1264.543091
555.931	34.899811	-24.556952	1162.714111
Event	88	Guns	2
629.222	-13.907575	27.715954	1255.926025
606.835	5.774876	21.286860	1228.041016
Event	89	Guns	2
649.294	24.810331	-13.809394	1280.970215
554.352	-10.409190	35.077129	1160.891235
Event	90	Guns	2
591.833	-8.805696	-38.265682	1208.658569
554.092	-38.638748	-24.578104	1160.229370
Event	91	Guns	2
567.68	27.360355	-5.769516	1178.229614
586.769	9.587803	-36.511955	1202.285034
Event	92	Guns	2
611.063	-5.379064	41.283531	1232.855469
587.735	-27.309790	-19.148148	1203.640625
Event	93	Guns	2
631.17	-12.390682	14.079833	1258.600098
635.328	12.836803	29.236164	1263.520996
Event	94	Guns	2
624.404	17.627222	30.484604	1249.791138
586.028	-24.370026	1.804899	1201.688843
Event	95	Guns	2
594.159	-1.932766	46.450165	1211.348389
583.137	18.102476	8.407056	1198.098755
Event	96	Guns	2
637.384	41.748863	15.965403	1265.696899
583.894	-6.295744	6.490563	1199.192871
Event	97	Guns	2
607.229	-12.972519	-17.979698	1228.534790
631.113	47.310539	-13.200068	1257.709961
Event	98	Guns	2
550.679	33.217209	-9.934501	1156.219238
582.105	2.206685	-26.692270	1196.653809
Event	99	Guns	2
564.38	29.548456	-26.593903	1173.664795
593.658	-4.781858	-33.943100	1211.121460
Event	100	Guns	2
558.558	-12.174186	-33.415699	1166.329590
645.673	45.730797	13.313472	1275.903809
Event	101	Guns	2
627.865	-0.449381	2.229314	1254.610718
642.16	32.456425	31.162123	1271.631836
Event	102	Guns	2
621.348	25.834755	15.275803	1246.100342
643.267	36.809113	-17.910204	1273.145020
Event	103	Guns	2
641.12	20.198006	40.264332	1270.336060
640.351	12.375224	0.812310	1270.117188
Event	104	Guns	2
584.796	-38.324230	4.412632	1199.752075
641.674	-20.899361	44.191418	1270.883057
Event	105	Guns	2
604.284	-11.611770	-5.752339	1224.956665
638.422	-38.008980	26.735727	1266.925415
Event	106	Guns	2
598.127	33.736374	-32.610283	1216.351807
639.942	-5.495914	-22.148264	1269.464111
Event	107	Guns	2
601.119	11.650368	-0.296896	1220.979126
582.414	30.916304	-8.581182	1196.916748
Event	108	Guns	2
594.023	-8.522992	29.902113	1211.669556
632.651	-1.071661	27.795874	1260.281372
Event	109	Guns	2
564.337	-33.005547	27.616686	1173.494141
580.567	-22.668655	33.827663	1194.303223
Event	110	Guns	2
607.53	-7.636859	-20.466637	1228.919800
631.189	-8.633122	-12.046220	1258.676147
Event	111	Guns	2
577.385	-7.629513	36.734543	1190.355957
578.417	0.113771	0.976182	1192.261353
Event	112	Guns	2
570.323	28.320498	16.248953	1181.487915
578.733	-43.253716	-9.148713	1191.844482
Event	113	Guns	2
640.913	-20.332130	-43.968529	1269.953247
577.053	-29.760077	-29.905006	1189.776611
Event	114	Guns	2
583.969	-41.714760	4.366623	1198.588135
627.479	-36.425293	17.105669	1253.484863
Event	115	Guns	2
598.679	41.115837	-22.468880	1217.052612
640.425	38.619308	-25.966839	1269.416992
Event	116	Guns	2
592.137	-4.650159	-25.380877	1209.406616
641.497	5.843666	22.021503	1271.399170
Event	117	Guns	2
610.807	-7.507918	20.850735	1233.036499
